State,state_code,auth_npdes,auth_federal,auth_pretreat,auth_general,auth_sludge
Alabama,AL,10/19/1979,10/19/1979,10/19/1979,6/26/1991,
Alaska,AK,10/31/2008,10/31/2008,10/31/2008,10/31/2008,
American Samoa,,,,,,
Arizona,AZ,12/5/2002,12/5/2002,12/5/2002,12/5/2002,4/1/2004
Arkansas,AR,11/1/1986,11/1/1986,11/1/1986,11/1/1986,
California,CA,5/14/1973,5/5/1978,9/22/1989,9/22/1989,
Colorado,CO,3/27/1975,,,3/4/1982,
Connecticut,CT,9/26/1973,1/9/1989,6/3/1981,3/10/1992,
Delaware,DE,4/1/1974,,,10/23/1992,
District of Columbia,DC,,,,,
Florida,FL,5/1/1995,5/1/2000,5/1/1995,5/1/1995,
Georgia,GA,6/28/1974,12/8/1980,3/12/1981,1/28/1991,
Guam,,,,,,
Hawaii,HI,11/28/1974,6/1/1979,8/12/1983,9/30/1991,
Idaho,ID,6/5/2018,6/5/2018,6/5/2018,6/5/2018,6/5/2018
Illinois,IL,10/23/1977,9/20/1979,,1/4/1984,
Indiana,IN,1/1/1975,12/9/1978,,4/2/1991,
Iowa,IA,8/10/1978,8/10/1978,6/3/1981,8/12/1992,
Johnston Atoll,,,,,,
Kansas,KS,6/28/1974,8/28/1985,,11/24/1993,
Kentucky,KY,9/30/1983,9/30/1983,9/30/1983,9/30/1983,
Louisiana,LA,8/27/1996,8/27/1996,8/27/1996,8/27/1996,
Maine,ME,1/12/2001,1/12/2001,1/12/2001,1/12/2001,
Maryland,MD,9/5/1974,11/10/1987,9/30/1985,9/30/1991,
Massachusetts,MA,,,,,
Michigan,MI,10/17/1973,12/9/1978,6/7/1983,11/29/1993,9/28/2006
Midway Island,,,,,,
Minnesota,MN,6/30/1974,12/9/1978,7/16/1979,12/15/1987,
Mississippi,MS,5/1/1974,1/28/1983,5/13/1982,9/27/1991,
Missouri,MO,10/30/1974,6/26/1979,6/3/1981,12/12/1985,
Montana,MT,6/10/1974,6/23/1981,,4/29/1983,
Nebraska,NE,6/12/1974,11/2/1979,9/7/1984,7/20/1989,
Nevada,NV,9/19/1975,8/31/1978,,7/27/1992,
New Hampshire,NH,,,,,
New Jersey,NJ,4/13/1982,4/13/1982,4/13/1982,4/13/1982,
New Mexico,NM,,,,,
New York,NY,10/28/1975,6/13/1980,,10/15/1992,
North Carolina,NC,10/19/1975,9/28/1984,6/14/1982,9/6/1991,
North Dakota,ND,6/13/1975,1/22/1990,9/16/2005,1/22/1990,
Northern Mariana Islands,,,,,,
Ohio,OH,3/11/1974,1/28/1983,7/27/1983,8/17/1992,3/16/2005
Oklahoma,OK,11/19/1996,11/19/1996,11/19/1996,9/11/1997,11/19/1996
Oregon,OR,9/26/1973,3/2/1979,3/12/1981,2/23/1982,
Pennsylvania,PA,6/30/1978,6/30/1978,,8/2/1991,
Puerto Rico,,,,,,
Rhode Island,RI,9/17/1984,9/17/1984,9/17/1984,9/17/1984,
South Carolina,SC,6/10/1975,9/26/1980,4/9/1982,9/3/1992,
South Dakota,SD,12/30/1993,12/30/1993,12/30/1993,12/30/1993,10/22/2001
Tennessee,TN,12/28/1977,9/30/1986,8/10/1983,4/18/1991,
Texas,TX,9/14/1998,9/14/1998,9/14/1998,9/14/1998,9/14/1998
Utah,UT,7/7/1987,7/7/1987,7/7/1987,7/7/1987,6/14/1996
Vermont,VT,3/11/1974,,3/16/1982,8/26/1993,
Virgin Islands,,6/30/1976,12/26/2007,,12/26/2007,
Virginia,VA,3/31/1975,2/9/1982,4/14/1989,4/20/1991,
Wake Island,,,,,,
Washington,WA,11/14/1973,,9/30/1986,9/26/1989,
West Virginia,WV,5/10/1982,5/10/1982,5/10/1982,5/10/1982,
Wisconsin,WI,2/4/1974,11/26/1979,12/24/1980,12/19/1986,7/28/2000
Wyoming,WY,1/30/1975,5/18/1981,,9/24/1991,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
