"country","year","sector","iso2","un","ets","ratio"
"Austria",1990,"Total","AT",62292228.93,NA,NA
"Austria",1990,"Regulated","AT",31514721.7,NA,NA
"Austria",1990,"Unregulated","AT",30777507.23,NA,NA
"Austria",1991,"Total","AT",65899677.65,NA,NA
"Austria",1991,"Regulated","AT",32265137.6,NA,NA
"Austria",1991,"Unregulated","AT",33634540.05,NA,NA
"Austria",1992,"Total","AT",60431459.18,NA,NA
"Austria",1992,"Regulated","AT",27422505.44,NA,NA
"Austria",1992,"Unregulated","AT",33008953.74,NA,NA
"Austria",1993,"Total","AT",60787739.13,NA,NA
"Austria",1993,"Regulated","AT",27590204.1,NA,NA
"Austria",1993,"Unregulated","AT",33197535.03,NA,NA
"Austria",1994,"Total","AT",61190346.75,NA,NA
"Austria",1994,"Regulated","AT",29129235.45,NA,NA
"Austria",1994,"Unregulated","AT",32061111.3,NA,NA
"Austria",1995,"Total","AT",64205950.22,NA,NA
"Austria",1995,"Regulated","AT",30431776.97,NA,NA
"Austria",1995,"Unregulated","AT",33774173.25,NA,NA
"Austria",1996,"Total","AT",67673887.44,NA,NA
"Austria",1996,"Regulated","AT",31171690.57,NA,NA
"Austria",1996,"Unregulated","AT",36502196.87,NA,NA
"Austria",1997,"Total","AT",67453011.31,NA,NA
"Austria",1997,"Regulated","AT",33083251.73,NA,NA
"Austria",1997,"Unregulated","AT",34369759.58,NA,NA
"Austria",1998,"Total","AT",67054364.04,NA,NA
"Austria",1998,"Regulated","AT",30798705.29,NA,NA
"Austria",1998,"Unregulated","AT",36255658.75,NA,NA
"Austria",1999,"Total","AT",65621004.96,NA,NA
"Austria",1999,"Regulated","AT",30024861.67,NA,NA
"Austria",1999,"Unregulated","AT",35596143.29,NA,NA
"Austria",2000,"Total","AT",66261743.06,NA,NA
"Austria",2000,"Regulated","AT",30878947.7,NA,NA
"Austria",2000,"Unregulated","AT",35382795.36,NA,NA
"Austria",2001,"Total","AT",70390857.43,NA,NA
"Austria",2001,"Regulated","AT",32296822.31,NA,NA
"Austria",2001,"Unregulated","AT",38094035.12,NA,NA
"Austria",2002,"Total","AT",72146538.21,NA,NA
"Austria",2002,"Regulated","AT",32957047.44,NA,NA
"Austria",2002,"Unregulated","AT",39189490.77,NA,NA
"Austria",2003,"Total","AT",77764249.22,NA,NA
"Austria",2003,"Regulated","AT",35874131.78,NA,NA
"Austria",2003,"Unregulated","AT",41890117.44,NA,NA
"Austria",2004,"Total","AT",78052545.98,NA,NA
"Austria",2004,"Regulated","AT",36024866.51,NA,NA
"Austria",2004,"Unregulated","AT",42027679.47,NA,NA
"Austria",2005,"Total","AT",79366679.88,NA,NA
"Austria",2005,"Regulated","AT",37087624.83,33373155,0.899846111822308
"Austria",2005,"Unregulated","AT",42279055.05,NA,NA
"Austria",2006,"Total","AT",76688464.51,NA,NA
"Austria",2006,"Regulated","AT",36053296.77,32384372,0.898236081060611
"Austria",2006,"Unregulated","AT",40635167.74,NA,NA
"Austria",2007,"Total","AT",74032117.13,NA,NA
"Austria",2007,"Regulated","AT",35187756.71,31751260,0.902338283786548
"Austria",2007,"Unregulated","AT",38844360.42,NA,NA
"Austria",2008,"Total","AT",73806271.05,NA,NA
"Austria",2008,"Regulated","AT",35577155.96,32078974,0.90167336692306
"Austria",2008,"Unregulated","AT",38229115.09,NA,NA
"Austria",2009,"Total","AT",67483059.72,NA,NA
"Austria",2009,"Regulated","AT",30875858.65,27359833,0.886123793677881
"Austria",2009,"Unregulated","AT",36607201.07,NA,NA
"Austria",2010,"Total","AT",72383144.13,NA,NA
"Austria",2010,"Regulated","AT",34526720.14,30919711,0.895529922176964
"Austria",2010,"Unregulated","AT",37856423.99,NA,NA
"Austria",2011,"Total","AT",70115670.43,NA,NA
"Austria",2011,"Regulated","AT",34601350.08,30599418,0.884341736066733
"Austria",2011,"Unregulated","AT",35514320.35,NA,NA
"Austria",2012,"Total","AT",67661399.55,NA,NA
"Austria",2012,"Regulated","AT",32567023.79,28387060,0.871650421083811
"Austria",2012,"Unregulated","AT",35094375.76,NA,NA
"Austria",2013,"Total","AT",68001230.43,NA,NA
"Austria",2013,"Regulated","AT",31932096.89,29804410,0.93336839427334
"Austria",2013,"Unregulated","AT",36069133.54,NA,NA
"Austria",2014,"Total","AT",64253326.18,NA,NA
"Austria",2014,"Regulated","AT",29957995.57,28055974,0.936510386165332
"Austria",2014,"Unregulated","AT",34295330.61,NA,NA
"Austria",2015,"Total","AT",66703987.93,NA,NA
"Austria",2015,"Regulated","AT",31529962.82,29492065,0.935366310717394
"Austria",2015,"Unregulated","AT",35174025.11,NA,NA
"Austria",2016,"Total","AT",67402082.59,NA,NA
"Austria",2016,"Regulated","AT",30882330.13,29000120,0.939052198390575
"Austria",2016,"Unregulated","AT",36519752.46,NA,NA
"Austria",2017,"Total","AT",NA,NA,NA
"Austria",2017,"Regulated","AT",NA,30555226,NA
"Austria",2017,"Unregulated","AT",NA,NA,NA
"Belgium",1990,"Total","BE",120484399.25,NA,NA
"Belgium",1990,"Regulated","BE",65353357.05,NA,NA
"Belgium",1990,"Unregulated","BE",55131042.2,NA,NA
"Belgium",1991,"Total","BE",123544709.38,NA,NA
"Belgium",1991,"Regulated","BE",64879453.1,NA,NA
"Belgium",1991,"Unregulated","BE",58665256.28,NA,NA
"Belgium",1992,"Total","BE",122657810.58,NA,NA
"Belgium",1992,"Regulated","BE",63715209.87,NA,NA
"Belgium",1992,"Unregulated","BE",58942600.71,NA,NA
"Belgium",1993,"Total","BE",121557284.45,NA,NA
"Belgium",1993,"Regulated","BE",61867252.79,NA,NA
"Belgium",1993,"Unregulated","BE",59690031.66,NA,NA
"Belgium",1994,"Total","BE",124938188.98,NA,NA
"Belgium",1994,"Regulated","BE",65830312.22,NA,NA
"Belgium",1994,"Unregulated","BE",59107876.76,NA,NA
"Belgium",1995,"Total","BE",126082964.15,NA,NA
"Belgium",1995,"Regulated","BE",66382721.45,NA,NA
"Belgium",1995,"Unregulated","BE",59700242.7,NA,NA
"Belgium",1996,"Total","BE",129583624.56,NA,NA
"Belgium",1996,"Regulated","BE",64185159.28,NA,NA
"Belgium",1996,"Unregulated","BE",65398465.28,NA,NA
"Belgium",1997,"Total","BE",124046824.63,NA,NA
"Belgium",1997,"Regulated","BE",62971141.48,NA,NA
"Belgium",1997,"Unregulated","BE",61075683.15,NA,NA
"Belgium",1998,"Total","BE",130285112.64,NA,NA
"Belgium",1998,"Regulated","BE",68013326.24,NA,NA
"Belgium",1998,"Unregulated","BE",62271786.4,NA,NA
"Belgium",1999,"Total","BE",124745701.42,NA,NA
"Belgium",1999,"Regulated","BE",63254668.83,NA,NA
"Belgium",1999,"Unregulated","BE",61491032.59,NA,NA
"Belgium",2000,"Total","BE",126794789.29,NA,NA
"Belgium",2000,"Regulated","BE",66353918.27,NA,NA
"Belgium",2000,"Unregulated","BE",60440871.02,NA,NA
"Belgium",2001,"Total","BE",126129005.85,NA,NA
"Belgium",2001,"Regulated","BE",62737068.14,NA,NA
"Belgium",2001,"Unregulated","BE",63391937.71,NA,NA
"Belgium",2002,"Total","BE",126444626.44,NA,NA
"Belgium",2002,"Regulated","BE",63832200.08,NA,NA
"Belgium",2002,"Unregulated","BE",62612426.36,NA,NA
"Belgium",2003,"Total","BE",127953184.7,NA,NA
"Belgium",2003,"Regulated","BE",64381938.7,NA,NA
"Belgium",2003,"Unregulated","BE",63571246,NA,NA
"Belgium",2004,"Total","BE",129040882.69,NA,NA
"Belgium",2004,"Regulated","BE",65432298.76,NA,NA
"Belgium",2004,"Unregulated","BE",63608583.93,NA,NA
"Belgium",2005,"Total","BE",125638201.62,NA,NA
"Belgium",2005,"Regulated","BE",63770609.11,55363232,0.868162195291285
"Belgium",2005,"Unregulated","BE",61867592.51,NA,NA
"Belgium",2006,"Total","BE",124030888.53,NA,NA
"Belgium",2006,"Regulated","BE",62966878.75,54775326,0.869906958823173
"Belgium",2006,"Unregulated","BE",61064009.78,NA,NA
"Belgium",2007,"Total","BE",120611401.78,NA,NA
"Belgium",2007,"Regulated","BE",61064877.2,52795333,0.8645777314361
"Belgium",2007,"Unregulated","BE",59546524.58,NA,NA
"Belgium",2008,"Total","BE",120659010.03,NA,NA
"Belgium",2008,"Regulated","BE",59138468.68,55462027,0.937833329775694
"Belgium",2008,"Unregulated","BE",61520541.35,NA,NA
"Belgium",2009,"Total","BE",107642367.04,NA,NA
"Belgium",2009,"Regulated","BE",48708373.49,46206938,0.948644651611831
"Belgium",2009,"Unregulated","BE",58933993.55,NA,NA
"Belgium",2010,"Total","BE",113582031.44,NA,NA
"Belgium",2010,"Regulated","BE",53155549.91,50103979,0.942591678288217
"Belgium",2010,"Unregulated","BE",60426481.53,NA,NA
"Belgium",2011,"Total","BE",104158641.92,NA,NA
"Belgium",2011,"Regulated","BE",49528047.94,46203055,0.932866464997207
"Belgium",2011,"Unregulated","BE",54630593.98,NA,NA
"Belgium",2012,"Total","BE",101394975.19,NA,NA
"Belgium",2012,"Regulated","BE",46614549.29,43006980,0.922608512901059
"Belgium",2012,"Unregulated","BE",54780425.9,NA,NA
"Belgium",2013,"Total","BE",101970441.98,NA,NA
"Belgium",2013,"Regulated","BE",45329141.28,45231175,0.997838779265752
"Belgium",2013,"Unregulated","BE",56641300.7,NA,NA
"Belgium",2014,"Total","BE",96391041.25,NA,NA
"Belgium",2014,"Regulated","BE",44366353.63,43853144,0.988432458653691
"Belgium",2014,"Unregulated","BE",52024687.62,NA,NA
"Belgium",2015,"Total","BE",100229489.8,NA,NA
"Belgium",2015,"Regulated","BE",45127982.33,44713915,0.990824599093039
"Belgium",2015,"Unregulated","BE",55101507.47,NA,NA
"Belgium",2016,"Total","BE",100243709.22,NA,NA
"Belgium",2016,"Regulated","BE",44176908.73,43655728,0.98820241739445
"Belgium",2016,"Unregulated","BE",56066800.49,NA,NA
"Belgium",2017,"Total","BE",NA,NA,NA
"Belgium",2017,"Regulated","BE",NA,43772976,NA
"Belgium",2017,"Unregulated","BE",NA,NA,NA
"Bulgaria",1990,"Total","BG",78672941.86,NA,NA
"Bulgaria",1990,"Regulated","BG",53281877.28,NA,NA
"Bulgaria",1990,"Unregulated","BG",25391064.58,NA,NA
"Bulgaria",1991,"Total","BG",60058049.46,NA,NA
"Bulgaria",1991,"Regulated","BG",40119677.12,NA,NA
"Bulgaria",1991,"Unregulated","BG",19938372.34,NA,NA
"Bulgaria",1992,"Total","BG",56839995.02,NA,NA
"Bulgaria",1992,"Regulated","BG",37186568.8,NA,NA
"Bulgaria",1992,"Unregulated","BG",19653426.22,NA,NA
"Bulgaria",1993,"Total","BG",57483412.74,NA,NA
"Bulgaria",1993,"Regulated","BG",37884518.56,NA,NA
"Bulgaria",1993,"Unregulated","BG",19598894.18,NA,NA
"Bulgaria",1994,"Total","BG",55936140.24,NA,NA
"Bulgaria",1994,"Regulated","BG",37708052.6,NA,NA
"Bulgaria",1994,"Unregulated","BG",18228087.64,NA,NA
"Bulgaria",1995,"Total","BG",57536986.81,NA,NA
"Bulgaria",1995,"Regulated","BG",40309262.29,NA,NA
"Bulgaria",1995,"Unregulated","BG",17227724.52,NA,NA
"Bulgaria",1996,"Total","BG",57952542.89,NA,NA
"Bulgaria",1996,"Regulated","BG",39917861.22,NA,NA
"Bulgaria",1996,"Unregulated","BG",18034681.67,NA,NA
"Bulgaria",1997,"Total","BG",55181619.81,NA,NA
"Bulgaria",1997,"Regulated","BG",43993730.41,NA,NA
"Bulgaria",1997,"Unregulated","BG",11187889.4,NA,NA
"Bulgaria",1998,"Total","BG",52526259.83,NA,NA
"Bulgaria",1998,"Regulated","BG",40015552.26,NA,NA
"Bulgaria",1998,"Unregulated","BG",12510707.57,NA,NA
"Bulgaria",1999,"Total","BG",46096271.91,NA,NA
"Bulgaria",1999,"Regulated","BG",34446269.06,NA,NA
"Bulgaria",1999,"Unregulated","BG",11650002.85,NA,NA
"Bulgaria",2000,"Total","BG",45213926.4,NA,NA
"Bulgaria",2000,"Regulated","BG",34715631.55,NA,NA
"Bulgaria",2000,"Unregulated","BG",10498294.85,NA,NA
"Bulgaria",2001,"Total","BG",48923315.34,NA,NA
"Bulgaria",2001,"Regulated","BG",38777317.97,NA,NA
"Bulgaria",2001,"Unregulated","BG",10145997.37,NA,NA
"Bulgaria",2002,"Total","BG",46166363.77,NA,NA
"Bulgaria",2002,"Regulated","BG",35376791.26,NA,NA
"Bulgaria",2002,"Unregulated","BG",10789572.51,NA,NA
"Bulgaria",2003,"Total","BG",50414461.15,NA,NA
"Bulgaria",2003,"Regulated","BG",38258085.58,NA,NA
"Bulgaria",2003,"Unregulated","BG",12156375.57,NA,NA
"Bulgaria",2004,"Total","BG",49508639.44,NA,NA
"Bulgaria",2004,"Regulated","BG",37741274.17,NA,NA
"Bulgaria",2004,"Unregulated","BG",11767365.27,NA,NA
"Bulgaria",2005,"Total","BG",50591294.73,NA,NA
"Bulgaria",2005,"Regulated","BG",38062272.92,NA,NA
"Bulgaria",2005,"Unregulated","BG",12529021.81,NA,NA
"Bulgaria",2006,"Total","BG",51825570.51,NA,NA
"Bulgaria",2006,"Regulated","BG",38440652.27,NA,NA
"Bulgaria",2006,"Unregulated","BG",13384918.24,NA,NA
"Bulgaria",2007,"Total","BG",55637034.18,NA,NA
"Bulgaria",2007,"Regulated","BG",42578209.21,39181984,0.920235602365297
"Bulgaria",2007,"Unregulated","BG",13058824.97,NA,NA
"Bulgaria",2008,"Total","BG",53972792.56,NA,NA
"Bulgaria",2008,"Regulated","BG",42044338.81,38303052,0.911015682113423
"Bulgaria",2008,"Unregulated","BG",11928453.75,NA,NA
"Bulgaria",2009,"Total","BG",45707145.13,NA,NA
"Bulgaria",2009,"Regulated","BG",34845789.53,32014545,0.918749307500624
"Bulgaria",2009,"Unregulated","BG",10861355.6,NA,NA
"Bulgaria",2010,"Total","BG",47792803.35,NA,NA
"Bulgaria",2010,"Regulated","BG",37179027.98,33525096,0.901720615666295
"Bulgaria",2010,"Unregulated","BG",10613775.37,NA,NA
"Bulgaria",2011,"Total","BG",53116467.41,NA,NA
"Bulgaria",2011,"Regulated","BG",42065785.44,39997538,0.95083302455032
"Bulgaria",2011,"Unregulated","BG",11050681.97,NA,NA
"Bulgaria",2012,"Total","BG",48269491.35,NA,NA
"Bulgaria",2012,"Regulated","BG",36985164.44,35050852,0.947700315267275
"Bulgaria",2012,"Unregulated","BG",11284326.91,NA,NA
"Bulgaria",2013,"Total","BG",42586002.72,NA,NA
"Bulgaria",2013,"Regulated","BG",32593937.19,32695619,1.00311965410645
"Bulgaria",2013,"Unregulated","BG",9992065.53,NA,NA
"Bulgaria",2014,"Total","BG",45142469.21,NA,NA
"Bulgaria",2014,"Regulated","BG",34497490.64,34305079,0.99442244533065
"Bulgaria",2014,"Unregulated","BG",10644978.57,NA,NA
"Bulgaria",2015,"Total","BG",48132691.51,NA,NA
"Bulgaria",2015,"Regulated","BG",36413906.82,36260861,0.995797050265534
"Bulgaria",2015,"Unregulated","BG",11718784.69,NA,NA
"Bulgaria",2016,"Total","BG",45287386.92,NA,NA
"Bulgaria",2016,"Regulated","BG",33421642.39,33410834,0.99967660506106
"Bulgaria",2016,"Unregulated","BG",11865744.53,NA,NA
"Bulgaria",2017,"Total","BG",NA,NA,NA
"Bulgaria",2017,"Regulated","BG",NA,34908095,NA
"Bulgaria",2017,"Unregulated","BG",NA,NA,NA
"Croatia",1990,"Total","HR",23441965.06,NA,NA
"Croatia",1990,"Regulated","HR",9469284.13,NA,NA
"Croatia",1990,"Unregulated","HR",13972680.93,NA,NA
"Croatia",1991,"Total","HR",17304185.2,NA,NA
"Croatia",1991,"Regulated","HR",6564291.31,NA,NA
"Croatia",1991,"Unregulated","HR",10739893.89,NA,NA
"Croatia",1992,"Total","HR",16632547.36,NA,NA
"Croatia",1992,"Regulated","HR",7320983.11,NA,NA
"Croatia",1992,"Unregulated","HR",9311564.25,NA,NA
"Croatia",1993,"Total","HR",17103715.58,NA,NA
"Croatia",1993,"Regulated","HR",7530651.34,NA,NA
"Croatia",1993,"Unregulated","HR",9573064.24,NA,NA
"Croatia",1994,"Total","HR",16361217.01,NA,NA
"Croatia",1994,"Regulated","HR",6441834.2,NA,NA
"Croatia",1994,"Unregulated","HR",9919382.81,NA,NA
"Croatia",1995,"Total","HR",17040096.64,NA,NA
