"iso2","year","sector","un","ets","country","ratio"
"AT",1990,"Energy",14025035.91,NA,"Austria",NA
"AT",1990,"Metals",8978965.73,NA,"Austria",NA
"AT",1990,"Minerals",4761585.09,NA,"Austria",NA
"AT",1990,"Chemicals",1535071.62,NA,"Austria",NA
"AT",1990,"Paper",2214063.35,NA,"Austria",NA
"AT",1990,"Residual",30777507.23,NA,"Austria",NA
"AT",1990,"Transport",13328049.43,NA,"Austria",NA
"AT",1990,"Total",62292228.93,NA,"Austria",NA
"AT",1991,"Energy",14791166.44,NA,"Austria",NA
"AT",1991,"Metals",8600883.56,NA,"Austria",NA
"AT",1991,"Minerals",4617715.58,NA,"Austria",NA
"AT",1991,"Chemicals",1580082.16,NA,"Austria",NA
"AT",1991,"Paper",2675289.86,NA,"Austria",NA
"AT",1991,"Residual",33634540.05,NA,"Austria",NA
"AT",1991,"Transport",14799662.91,NA,"Austria",NA
"AT",1991,"Total",65899677.65,NA,"Austria",NA
"AT",1992,"Energy",11581927.5,NA,"Austria",NA
"AT",1992,"Metals",7380937.25,NA,"Austria",NA
"AT",1992,"Minerals",4663486.97,NA,"Austria",NA
"AT",1992,"Chemicals",1629015.64,NA,"Austria",NA
"AT",1992,"Paper",2167138.08,NA,"Austria",NA
"AT",1992,"Residual",33008953.74,NA,"Austria",NA
"AT",1992,"Transport",14776276.39,NA,"Austria",NA
"AT",1992,"Total",60431459.18,NA,"Austria",NA
"AT",1993,"Energy",11623249.52,NA,"Austria",NA
"AT",1993,"Metals",7680965.81,NA,"Austria",NA
"AT",1993,"Minerals",4546093.24,NA,"Austria",NA
"AT",1993,"Chemicals",1716208.92,NA,"Austria",NA
"AT",1993,"Paper",2023686.61,NA,"Austria",NA
"AT",1993,"Residual",33197535.03,NA,"Austria",NA
"AT",1993,"Transport",14917319.6,NA,"Austria",NA
"AT",1993,"Total",60787739.13,NA,"Austria",NA
"AT",1994,"Energy",11915320.45,NA,"Austria",NA
"AT",1994,"Metals",8314318.29,NA,"Austria",NA
"AT",1994,"Minerals",4719861.76,NA,"Austria",NA
"AT",1994,"Chemicals",1624888.26,NA,"Austria",NA
"AT",1994,"Paper",2554846.69,NA,"Austria",NA
"AT",1994,"Residual",32061111.3,NA,"Austria",NA
"AT",1994,"Transport",14966121.97,NA,"Austria",NA
"AT",1994,"Total",61190346.75,NA,"Austria",NA
"AT",1995,"Energy",13044941.45,NA,"Austria",NA
"AT",1995,"Metals",9180664.62,NA,"Austria",NA
"AT",1995,"Minerals",4177772.63,NA,"Austria",NA
"AT",1995,"Chemicals",1713281.98,NA,"Austria",NA
"AT",1995,"Paper",2315116.29,NA,"Austria",NA
