statename,state_code,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,Total
"Alabama, Middle",,9,4,5,10,22,3,6,6,5,2,7,3,8,9,0,0,4,4,0,1,4,6,4,2,3,9,7,6,7,9,11,8,3,187
"Alabama, Northern",,0,6,4,9,6,5,4,7,15,12,3,4,0,8,1,0,3,4,12,2,4,4,1,17,9,15,11,6,4,17,33,39,17,282
"Alabama, Southern",,1,0,1,,5,0,6,12,16,6,8,6,9,8,3,2,0,4,11,3,1,9,0,6,0,2,10,2,2,0,7,5,0,145
Alabama,AL,10,10,10,19,33,8,16,25,36,20,18,13,17,25,4,2,7,12,23,6,9,19,5,25,12,26,28,14,13,26,51,52,20,614
Alaska,AK,4,3,0,0,0,0,0,6,8,9,10,6,0,6,1,0,1,0,0,2,2,3,1,4,16,6,5,0,0,1,3,15,8,120
Arizona,AZ,2,3,0,1,2,6,0,4,3,4,4,5,11,27,4,8,8,16,10,2,6,8,5,7,8,1,4,10,9,48,16,32,20,294
"Arkansas, Eastern",,1,3,2,3,4,1,0,9,2,3,2,1,5,3,0,6,2,4,2,0,1,4,4,5,7,0,0,18,18,4,8,8,4,134
"Arkansas, Western",,0,1,0,1,1,1,1,4,4,0,6,4,5,0,3,1,2,2,1,0,0,1,1,0,1,0,3,1,0,0,2,0,1,47
Arkansas,AR,1,4,2,4,5,2,1,13,6,3,8,5,10,3,3,7,4,6,3,0,1,5,5,5,8,0,3,19,18,4,10,8,5,181
"California, Central",,10,8,3,8,4,8,4,17,52,2,38,47,15,52,57,34,35,92,62,94,66,58,39,58,31,33,35,45,22,42,36,55,41,1203
"California, Eastern",,0,0,0,0,,0,3,0,20,25,28,18,32,30,23,22,20,23,19,18,26,17,18,17,18,18,20,20,39,30,18,13,9,544
"California, Northern",,0,0,0,0,0,2,0,3,9,39,12,3,19,9,2,6,13,22,7,25,16,7,14,9,18,3,4,5,14,3,4,2,3,273
"California, Southern",,1,2,3,7,8,8,5,3,7,22,5,9,6,13,6,6,5,0,4,7,16,2,4,4,7,12,5,5,2,10,7,6,5,212
California,CA,11,10,6,15,12,18,12,23,88,88,83,77,72,104,88,68,73,137,92,144,124,84,75,88,74,66,64,75,77,85,65,76,58,2232
Colorado,CO,0,1,1,0,0,0,1,13,9,4,11,11,0,14,10,13,,0,,0,0,0,2,1,3,22,16,7,8,11,4,3,4,169
Connecticut,CT,0,5,4,4,7,0,4,15,8,7,7,9,15,12,8,4,10,3,16,8,5,4,6,8,8,14,3,12,8,24,11,17,5,271
Delaware,DE,3,0,1,0,0,1,1,1,3,0,3,1,2,1,0,0,0,8,1,0,0,1,4,2,1,8,7,3,5,2,7,5,7,78
District of Columbia,DC,9,10,14,9,19,17,14,,34,16,30,13,19,25,50,23,,39,80,,37,32,72,60,46,43,44,20,33,15,25,22,66,936
"Florida, Middle",,4,1,5,1,2,6,4,13,23,8,8,20,24,40,19,28,23,11,,22,24,15,12,24,28,8,9,14,10,13,39,28,51,537
"Florida, Northern",,1,0,0,0,2,4,0,1,6,3,7,4,3,5,9,6,4,10,5,5,7,8,5,4,8,5,5,4,2,5,17,19,3,167
"Florida, Southern",,0,0,3,0,14,0,1,8,8,5,3,14,16,36,42,14,21,22,51,42,29,31,79,106,71,83,38,37,78,24,27,22,12,937
Florida,FL,5,1,8,1,18,10,5,22,37,16,18,38,43,81,70,48,48,43,56,69,60,54,96,134,107,96,52,55,90,42,83,69,66,1641
"Georgia, Middle",,9,7,1,1,3,1,2,10,4,8,12,2,4,14,10,19,4,4,17,6,5,6,3,2,2,11,1,8,4,7,3,0,7,197
"Georgia, Northern",,6,2,6,1,2,2,5,20,9,9,21,19,33,27,19,21,17,13,19,19,11,,1,6,,10,26,12,9,21,6,7,15,394
"Georgia, Southern",,0,1,0,4,2,8,3,8,14,6,3,2,7,8,5,1,,10,0,7,1,38,6,3,0,3,6,1,0,4,0,1,2,154
Georgia,GA,15,10,7,6,7,11,10,38,27,23,36,23,44,49,34,41,21,27,36,32,17,44,10,11,2,24,33,21,13,32,9,8,24,745
Guam,,,,2,0,,2,0,1,14,11,12,10,,9,2,0,3,10,9,1,3,7,6,7,19,19,13,16,9,5,2,0,3,195
